ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1229,2,85,-830.26,-938.76,0.05,202.03119,1,445549,969
1230,2,84,-905.72,-938.04,0.05,407.671648,1,445633,970
1231,2,84,-860.66,-934.95,0.05,460.049488,1,445717,971
1232,2,84,-888.68,-933.41,0.05,259.27506,1,445801,972
1233,2,88,-833.08,-931.12,0.05,321.396282,1,445889,973
1234,2,84,-841.39,-930.08,0.05,400.422063,1,445973,974
1235,2,84,-885.3,-929.24,0.05,344.430565,1,446057,975
1236,2,84,-836.27,-928.89,0.05,405.955471,1,446141,976
1237,2,86,-838.3,-932.99,0.05,556.206116,1,446227,977
1238,2,84,-857.0,-931.2,0.05,465.450305,1,446311,978
1239,2,83,-902.07,-930.85,0.05,447.635053,1,446394,979
1240,2,84,-849.3,-929.51,0.05,331.26872,1,446478,980
1241,2,84,-862.21,-928.39,0.05,1008.932023,1,446562,981
1242,2,86,-843.01,-926.68,0.05,313.070325,1,446648,982
1243,2,85,-844.8,-925.25,0.05,363.440149,1,446733,983
1244,2,84,-840.67,-925.07,0.05,436.872158,1,446817,984
1245,2,85,-862.12,-924.22,0.05,347.120569,1,446902,985
1246,2,85,-846.94,-924.19,0.05,848.034036,1,446987,986
1247,2,86,-829.34,-922.83,0.05,325.183684,1,447073,987
1248,2,82,-891.03,-923.13,0.05,418.621368,1,447155,988
1249,2,87,-823.13,-922.69,0.05,682.043689,1,447242,989
1250,2,84,-887.64,-921.93,0.05,262.200901,1,447326,990
1251,2,83,-908.7,-921.76,0.05,925.780445,1,447409,991
1252,2,85,-841.32,-920.24,0.05,377.2473,1,447494,992
1253,2,86,-850.08,-918.8,0.05,559.470703,1,447580,993
1254,2,85,-882.91,-918.17,0.05,427.732379,1,447665,994
1255,2,84,-841.15,-918.42,0.05,652.671515,1,447749,995
1256,2,84,-839.01,-917.37,0.05,382.952741,1,447833,996
1257,2,85,-829.5,-916.75,0.05,272.63933,1,447918,997
1258,2,85,-818.96,-915.75,0.05,456.96063,1,448003,998
1259,2,83,-862.2,-914.62,0.05,471.5533,1,448086,999
1260,2,82,-901.0,-914.86,0.05,291.533758,1,448168,1000
1261,2,83,-902.06,-915.27,0.05,397.11953,1,448251,1001
1262,2,83,-885.15,-914.03,0.05,403.800585,1,448334,1002
1263,2,89,-860.05,-913.6,0.05,441.705051,1,448423,1003
1264,2,84,-855.4,-912.71,0.05,338.83111,1,448507,1004
1265,2,84,-844.2,-912.01,0.05,282.838537,1,448591,1005
1266,2,83,-923.58,-912.2,0.05,324.956683,1,448674,1006
1267,2,84,-841.6,-911.91,0.05,445.988176,1,448758,1007
1268,2,84,-876.79,-912.06,0.05,625.478828,1,448842,1008
1269,2,84,-838.33,-905.51,0.05,473.375705,1,448926,1009
1270,2,84,-858.67,-905.49,0.05,334.654759,1,449010,1010
1271,2,84,-838.88,-905.17,0.05,367.377078,1,449094,1011
1272,2,84,-862.48,-899.75,0.05,362.983999,1,449178,1012
1273,2,83,-859.5,-894.15,0.05,605.622836,1,449261,1013
1274,2,84,-838.23,-888.58,0.05,793.898596,1,449345,1014
1275,2,84,-840.3,-882.88,0.05,292.131605,1,449429,1015
1276,2,82,-897.79,-877.98,0.05,346.756204,1,449511,1016
1277,2,83,-840.05,-872.47,0.05,331.439857,1,449594,1017
1278,2,83,-857.37,-866.88,0.05,738.124844,1,449677,1018
1279,2,83,-853.75,-861.59,0.05,624.414989,1,449760,1019
1280,2,84,-815.81,-855.78,0.05,397.426527,1,449844,1020
1281,2,86,-827.27,-850.2,0.05,665.327332,1,449930,1021
1282,2,83,-835.99,-844.6,0.05,390.759184,1,450013,1022
1283,2,83,-875.48,-839.15,0.05,286.07534,1,450096,1023
1284,2,83,-844.3,-833.45,0.05,468.173466,1,450179,1024
1285,2,85,-824.34,-827.69,0.05,486.336537,1,450264,1025
1286,2,406,-374.89,-827.44,0.05,453.239035,1,450670,1026
1287,2,84,-831.4,-830.05,0.05,340.614791,1,450754,1027
1288,2,84,-829.48,-830.05,0.05,450.205316,1,450838,1028
1289,2,414,-356.25,-819.45,0.05,461.677928,1,451252,1029
1290,2,84,-809.18,-818.96,0.05,316.286767,1,451336,1030
1291,2,84,-805.32,-813.37,0.05,598.156825,1,451420,1031
1292,2,84,-884.59,-818.57,0.05,329.175623,1,451504,1032
1293,2,85,-821.57,-822.65,0.05,504.713158,1,451589,1033
1294,2,87,-830.02,-822.22,0.05,829.894514,1,451676,1034
1295,2,405,-297.94,-810.51,0.05,575.364059,1,452081,1035
1296,2,85,-829.12,-804.16,0.05,808.524472,1,452166,1036
1297,2,86,-830.64,-805.0,0.05,589.643184,1,452252,1037
1298,2,84,-815.23,-804.3,0.05,336.053407,1,452336,1038
1299,2,86,-837.42,-803.93,0.05,445.537378,1,452422,1039
1300,2,86,-816.05,-808.05,0.05,475.910454,1,452508,1040
1301,2,86,-816.38,-812.61,0.05,495.3772,1,452594,1041
1302,2,85,-849.22,-812.46,0.05,571.071453,1,452679,1042
1303,2,86,-819.28,-812.05,0.05,679.860065,1,452765,1043
1304,2,84,-836.57,-806.87,0.05,430.458472,1,452849,1044
1305,2,86,-808.74,-806.39,0.05,416.356615,1,452935,1045
1306,2,85,-825.68,-806.07,0.05,425.384478,1,453020,1046
1307,2,86,-812.63,-808.97,0.05,349.703973,1,453106,1047
1308,2,85,-837.93,-814.3,0.05,591.430934,1,453191,1048
1309,2,85,-837.21,-814.18,0.05,612.226008,1,453276,1049
1310,2,88,-855.74,-818.88,0.05,410.257605,1,453364,1050
