ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
866,1,331,-100.01,189.04,0.05,1779.795643,1,231699,763
867,1,348,-206.04,181.73,0.05,1476.515299,1,232047,764
868,1,500,1613.38,192.54,0.05,1334.038765,0,232547,764
869,1,343,-133.35,185.9,0.05,1589.326115,1,232890,765
870,1,341,-100.44,179.48,0.05,1108.651313,1,233231,766
871,1,500,1277.16,186.87,0.05,1217.885653,0,233731,766
872,1,340,36.73,181.86,0.05,1232.076068,1,234071,767
873,1,500,1296.72,189.33,0.05,851.683696,0,234571,767
874,1,341,47.26,195.88,0.05,1189.989445,1,234912,768
875,1,330,46.69,191.13,0.05,993.263346,1,235242,769
876,1,500,1922.44,204.97,0.05,1145.119993,0,235742,769
877,1,500,1132.5,222.41,0.05,1140.3803,0,236242,769
878,1,341,25.62,228.73,0.05,1376.223261,1,236583,770
879,1,347,-204.31,221.35,0.05,1103.952881,1,236930,771
880,1,340,64.78,216.76,0.05,1307.458021,1,237270,772
881,1,339,-37.03,222.5,0.05,1207.775332,1,237609,773
882,1,500,1779.25,246.42,0.05,1105.330001,0,238109,773
883,1,338,0.74,252.47,0.05,1260.032491,1,238447,774
884,1,500,1573.26,274.22,0.05,1075.772102,0,238947,774
885,1,500,1455.75,283.37,0.05,1235.018418,0,239447,774
886,1,340,48.75,278.5,0.05,1609.41363,1,239787,775
887,1,500,1579.38,300.31,0.05,849.557671,0,240287,775
888,1,500,1411.88,320.52,0.05,765.384117,0,240787,775
889,1,500,1396.1,340.63,0.05,903.839479,0,241287,775
890,1,342,-91.64,346.02,0.05,992.457011,1,241629,776
891,1,500,1768.92,369.75,0.05,1362.905151,0,242129,776
892,1,340,-556.8,370.25,0.05,1058.361718,1,242469,777
893,1,343,11.05,376.43,0.05,1005.845051,1,242812,778
894,1,333,-31.14,382.23,0.05,874.021318,1,243145,779
895,1,500,1671.31,404.99,0.05,1325.053302,0,243645,779
896,1,338,6.69,411.1,0.05,1236.25486,1,243983,780
897,1,500,1859.67,435.86,0.05,1116.859621,0,244483,780
898,1,500,1813.26,460.1,0.05,895.689602,0,244983,780
899,1,500,1737.65,483.68,0.05,806.045518,0,245483,780
900,1,500,1815.89,507.97,0.05,1091.597811,0,245983,780
901,2,420,574.16,516.56,0.05,1118.459996,1,246403,781
902,2,420,603.55,524.56,0.05,654.89651,1,246823,782
903,2,416,585.36,531.91,0.05,1181.793041,1,247239,783
904,2,500,1527.03,550.25,0.05,1504.52311,0,247739,783
905,2,421,584.91,559.65,0.05,994.241658,1,248160,784
906,2,419,590.64,575.1,0.05,563.829779,1,248579,785
907,2,418,548.47,570.45,0.05,1228.171731,1,248997,786
908,2,420,571.31,587.5,0.05,981.563035,1,249417,787
909,2,417,571.7,589.3,0.05,672.510735,1,249834,788
910,2,416,588.45,594.89,0.05,1012.36187,1,250250,789
911,2,418,557.39,610.36,0.05,868.883931,1,250668,790
912,2,419,568.67,625.17,0.05,818.038758,1,251087,791
913,2,418,598.83,633.61,0.05,950.951352,1,251505,792
914,2,415,550.92,632.04,0.05,839.816585,1,251920,793
915,2,417,581.33,620.0,0.05,1101.627421,1,252337,794
916,2,419,570.73,617.51,0.05,892.506009,1,252756,795
917,2,418,568.53,634.29,0.05,1093.990619,1,253174,796
918,2,416,567.87,633.29,0.05,1043.356972,1,253590,797
919,2,425,512.04,649.4,0.05,703.830247,1,254015,798
920,2,418,540.34,638.99,0.05,972.363959,1,254433,799
921,2,416,578.57,630.17,0.05,1012.301644,1,254849,800
922,2,416,525.41,619.66,0.05,673.117091,1,255265,801
923,2,423,542.33,636.49,0.05,1173.912178,1,255688,802
924,2,418,556.86,635.39,0.05,861.776249,1,256106,803
925,2,419,568.85,651.95,0.05,1090.856746,1,256525,804
926,2,420,543.44,644.53,0.05,1073.632923,1,256945,805
