ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn,seed
90,2,106,-475.0,-403.22,0.9139,3016.485344,1,10832,90,"(-6.0,0.0)",42
91,2,45,-780.0,-407.36,0.913,5128.082352,1,10877,91,"(-4.5,1.5)",42
92,2,67,-670.0,-410.22,0.9121,4653.184364,1,10944,92,"(3.5,0.5)",42
93,2,27,-870.0,-415.16,0.9112,2439.752834,1,10971,93,"(0.0,3.5)",42
94,2,27,-870.0,-420.0,0.9102,5135.483712,1,10998,94,"(0.0,3.5)",42
95,2,67,-670.0,-422.63,0.9093,3826.150125,1,11065,95,"(3.5,0.5)",42
96,2,94,-535.0,-423.8,0.9084,3804.88799,1,11159,96,"(0.5,-2.0)",42
97,2,67,-670.0,-426.34,0.9075,4578.937878,1,11226,97,"(3.5,0.5)",42
98,2,55,-730.0,-429.44,0.9066,3328.988176,1,11281,98,"(1.5,0.0)",42
99,2,93,-540.0,-430.56,0.9057,4670.517495,1,11374,99,"(0.5,-2.0)",42
100,2,220,95.0,-425.3,0.9048,3467.5561,1,11594,100,"(-7.0,5.0)",42
101,2,220,95.0,-417.8,0.9039,3018.432959,1,11814,101,"(-7.0,5.0)",42
102,2,94,-535.0,-421.85,0.903,3183.711747,1,11908,102,"(0.5,-2.0)",42
103,2,55,-730.0,-420.5,0.9021,2029.22739,1,11963,103,"(1.5,0.0)",42
104,2,220,95.0,-412.85,0.9012,3291.832753,1,12183,104,"(-7.0,5.0)",42
105,2,165,-180.0,-407.35,0.9003,3219.632986,1,12348,105,"(-4.5,1.5)",42
106,2,55,-730.0,-409.3,0.8994,3183.140083,1,12403,106,"(1.5,0.0)",42
107,2,106,-475.0,-412.75,0.8985,3476.487267,1,12509,107,"(-6.0,0.0)",42
108,2,94,-535.0,-411.4,0.8976,3138.759487,1,12603,108,"(0.5,-2.0)",42
109,2,27,-870.0,-421.1,0.8967,3780.888592,1,12630,109,"(0.0,3.5)",42
110,2,280,395.0,-408.45,0.8958,2791.290485,1,12910,110,"(-1.5,-4.0)",42
111,2,175,-130.0,-408.4,0.8949,2592.759134,1,13085,111,"(6.0,6.0)",42
112,2,27,-870.0,-411.75,0.894,2947.355712,1,13112,112,"(0.0,3.5)",42
113,2,94,-535.0,-411.7,0.8931,2802.569182,1,13206,113,"(0.5,-2.0)",42
114,2,175,-130.0,-407.65,0.8922,2419.535046,1,13381,114,"(6.0,6.0)",42
115,2,93,-540.0,-407.7,0.8913,2420.812018,1,13474,115,"(0.5,-2.0)",42
116,2,67,-670.0,-413.1,0.8904,2363.380616,1,13541,116,"(3.5,0.5)",42
